flow_start,duration_s,protocol,src_ip,src_port,dst_ip,dst_port,packets,bytes,tcp_flags,tos,iat_mean,iat_std,payload_entropy,dns_query,bytes_per_sec,packets_per_sec,bytes_per_packet,flag_syn,flag_ack,flag_fin,flag_rst,flag_psh,flag_urg,src_port_category,dst_port_category,flow_duration_class,label,attack_type,attack_category,mitre_technique,mitre_tactic,confidence,evidence_source,threat_intel_score,country,behavioral_flags,flow_file
2026-06-24 17:38:47.845,00:00:32.700,UDP,e4af35de52bc,443,b7e38fbd48f5,58433.0,2642,3.3 M,........,0,0.0,0.0,0.0,none,816075,80,1262,0,0,0,0,0,0,well-known,dynamic,medium,Benign_Verified,normal,benign,,,multi-layer-verified,clean-intel+safe-dest:Exabyte Local Infrastructure,0.0,BD,,nfcapd.202606241740
2026-06-24 17:39:20.960,00:00:00.000,UDP,838c4c257384,53,097230dab125,36484.0,1,179,........,128,0.0,0.0,0.0,none,0,0,179,0,0,0,0,0,0,well-known,registered,instant,Unverified,normal,benign,,,behavioral-anomaly,scan-like:port-sweep(314);scan-like:net-sweep(16),0.0,Local,scan-like:port-sweep(314);scan-like:net-sweep(16),nfcapd.202606241740
2026-06-24 17:39:19.950,00:00:00.000,UDP,d560454f4e73,48970,838c4c257384,53.0,1,62,........,0,0.0,0.0,0.0,none,0,0,62,0,0,0,0,0,0,registered,well-known,instant,Benign_Verified,normal,benign,,,multi-layer-verified,clean-intel+safe-dest:Google,0.0,Local,,nfcapd.202606241740
2026-06-24 17:39:19.855,00:00:00.000,TCP,73fdcbc6acfd,443,5f1b37b50a0d,38494.0,1,1355,...AP..F,96,0.0,0.0,0.0,none,0,0,1355,0,1,1,0,1,0,well-known,registered,instant,Unverified,normal,benign,,,behavioral-anomaly,scan-like:single-pkt-tcp;scan-like:port-sweep(24),0.0,Local,scan-like:single-pkt-tcp;scan-like:port-sweep(24),nfcapd.202606241740
2026-06-24 17:39:20.605,00:00:00.000,UDP,0e8125020ad6,57923,838c4c257384,53.0,1,78,........,0,0.0,0.0,0.0,none,0,0,78,0,0,0,0,0,0,dynamic,well-known,instant,Benign_Verified,normal,benign,,,multi-layer-verified,clean-intel+safe-dest:Google,0.0,Local,,nfcapd.202606241740
2026-06-24 17:39:19.950,00:00:00.000,TCP,68cda96588ca,443,b6e704f26f62,40236.0,3,180,...AP...,0,0.0,0.0,0.0,none,0,0,60,0,1,0,0,1,0,well-known,registered,instant,Benign_Verified,normal,benign,,,multi-layer-verified,clean-intel+safe-dest:Exabyte Local Infrastructure,0.0,IN,,nfcapd.202606241740
2026-06-24 17:39:19.970,00:00:00.000,UDP,b2311239938f,54929,e16eaba2bc16,443.0,47,6819,........,0,0.0,0.0,0.0,none,0,0,145,0,0,0,0,0,0,dynamic,well-known,instant,Benign_Verified,normal,benign,,,multi-layer-verified,clean-intel+safe-dest:Google,0.0,Local,,nfcapd.202606241740
2026-06-24 17:39:20.975,00:00:00.000,UDP,ceae0402c6cc,443,9c93dc34e045,44936.0,5,2975,........,0,0.0,0.0,0.0,none,0,0,595,0,0,0,0,0,0,well-known,registered,instant,Benign_Verified,normal,benign,,,multi-layer-verified,clean-intel+safe-dest:Exabyte Local Infrastructure,,,,nfcapd.202606241740
2026-06-24 17:38:40.715,00:00:40.020,TCP,b529130a91dd,6000,2bcad8dee90d,56990.0,112,26806,...AP...,0,0.0,0.0,0.0,none,5358,2,239,0,1,0,0,1,0,registered,dynamic,medium,Benign_Verified,normal,benign,,,multi-layer-verified,clean-intel+safe-dest:Exabyte Local Infrastructure,,,,nfcapd.202606241740
2026-06-24 17:39:20.625,00:00:00.000,TCP,a61a9ca96c36,443,097230dab125,33128.0,1,40,.....R..,128,0.0,0.0,0.0,none,0,0,40,0,0,0,1,0,0,well-known,registered,instant,Unverified,normal,benign,,,behavioral-anomaly,scan-like:single-pkt-tcp;scan-like:port-sweep(19),0.0,Local,scan-like:single-pkt-tcp;scan-like:port-sweep(19),nfcapd.202606241740
